Academic Year,District Name,School Name,Reporting Category,ChronicAbsenteeismEligibleCumulativeEnrollment,ChronicAbsenteeismCount,ChronicAbsenteeismRate,Graduate count,Graduation Rate
2022-23,Hayward Unified,District Office,GM,43,15,34.9,6,0.13953488372093023
2022-23,Los Angeles Unified,Middle College High,TA,365,74,20.3,71,0.19452054794520549
2022-23,Baldwin Park Unified,District Office,RH,39,22,56.4,2,0.05128205128205128
2022-23,Coachella Valley Unified,La Familia Continuation High,GM,120,76,63.3,31,0.25833333333333336
2022-23,Los Angeles Unified,John Marshall Senior High,RW,373,93,24.9,75,0.20107238605898123
2022-23,East Whittier City Elementary,District Office,SS,100,36,36,1,0.01
2022-23,Del Norte County Unified,Sunset High,RI,29,25,86.2,8,0.27586206896551724
2022-23,San Bernardino City Unified,Pacific High,SE,190,79,41.6,28,0.14736842105263157
2022-23,Washington Unified,Washington High,RA,89,12,13.5,1,0.011235955056179775
2022-23,Waterford Unified,Connecting Waters Charter,GM,416,9,2.2,31,0.07451923076923077
2022-23,Bassett Unified,Bassett Senior High,GM,470,103,21.9,87,0.1851063829787234
2022-23,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",GM,11,0,0,1,0.09090909090909091
2022-23,Madera Unified,Madera South High,RB,39,21,53.8,6,0.15384615384615385
2022-23,Gateway Unified,Gateway Educational Options,GM,65,27,41.5,9,0.13846153846153847
2022-23,San Bernardino City Unified,Sierra High,GF,277,261,94.2,24,0.08664259927797834
2022-23,Kingsburg Joint Union High,Kingsburg Independent Study High,RW,32,15,46.9,10,0.3125
2022-23,Kern High,District Office,TA,335,154,46,5,0.014925373134328358
2022-23,La Mesa-Spring Valley,District Office,GM,27,0,0,1,0.037037037037037035
2022-23,Burbank Unified,Burroughs High,SH,18,4,22.2,8,0.4444444444444444
2022-23,Corona-Norco Unified,John F. Kennedy High,RB,33,1,3,13,0.3939393939393939
2022-23,Acalanes Union High,Acalanes High,SS,106,22,20.8,17,0.16037735849056603
2022-23,Konocti Unified,Lower Lake High,RI,26,19,73.1,5,0.19230769230769232
2022-23,Poway Unified,Del Norte High,RW,904,113,12.5,204,0.22566371681415928
2022-23,El Rancho Unified,District Office,GM,88,33,37.5,2,0.022727272727272728
2022-23,Vallejo City Unified,Vallejo High,GM,778,425,54.6,118,0.15167095115681234
2022-23,Golden Valley Unified,Liberty High,SE,45,7,15.6,10,0.2222222222222222
